"","l","BF","PPI","pval","time"
"Gene6355",0,0,0,0.99,13.3916091
"Gene6356",0,0,0,0.99,13.3916091
"Gene6357",0,0.149546324389001,0,0.584451808353483,13.3916091
"Gene6358",0,0.57990532019727,0,0.281504815405534,13.3916091
"Gene6359",0,0.0264630518104354,0,0.818047679777405,13.3916091
"Gene6360",0,0.168981774729878,0,0.561007064957542,13.3916091
"Gene6361",0,0,0,0.99,13.3916091
"Gene6362",0,0.0041112133122283,0,0.927748772168108,13.3916091
"Gene6363",0,0,0,0.99,13.3916091
"Gene6364",0,0.109734270112295,0,0.639445162722416,13.3916091
"Gene6365",0,0,0,0.99,13.3916091
"Gene6366",0,0,0,0.99,13.3916091
"Gene6367",0,0,0,0.99,13.3916091
"Gene6368",0,0,0,0.99,13.3916091
"Gene6369",0,0,0,0.99,13.3916091
"Gene6370",0,0,0,0.99,13.3916091
"Gene6371",0,0,0,0.99,13.3916091
"Gene6372",0,0,0,0.99,13.3916091
"Gene6373",0,0.226377045369264,0,0.50102997396473,13.3916091
"Gene6374",0,0.0871029054553787,0,0.676400703445878,13.3916091
"Gene6375",0,0,0,0.99,13.3916091
"Gene6376",0,0,0,0.99,13.3916091
"Gene6377",0,0,0,0.99,13.3916091
"Gene6378",0,0,0,0.99,13.3916091
"Gene6379",0,0.0247485307730756,0,0.82394074614101,13.3916091
"Gene6380",0.0158771972429846,0.918095103243769,0.02,0.175398135545513,13.3916091
"Gene6381",0,0.243854679730339,0,0.484950889872275,13.3916091
"Gene6382",0,0.11076402873058,0,0.63787807374725,13.3916091
"Gene6383",0,0.449194243287343,0,0.343214184913035,13.3916091
"Gene6384",0,0,0,0.99,13.3916091
"Gene6385",0.0261503007895701,1.79832488765196,0.02,0.0578961359669998,13.3916091
"Gene6386",0,0.398617413539853,0,0.371921398793126,13.3916091
"Gene6387",0,0,0,0.99,13.3916091
"Gene6388",0,0,0,0.99,13.3916091
"Gene6389",0,1.14721872207448,0,0.129838245627773,13.3916091
"Gene6390",0,0,0,0.99,13.3916091
"Gene6391",0,0,0,0.99,13.3916091
"Gene6392",0,0.313232443659587,0,0.428654989215388,13.3916091
"Gene6393",0,0,0,0.99,13.3916091
"Gene6394",0,0,0,0.99,13.3916091
"Gene6395",0,0.141003247071529,0,0.595389095225476,13.3916091
"Gene6396",0,0,0,0.99,13.3916091
"Gene6397",0,0,0,0.99,13.3916091
"Gene6398",0,0,0,0.99,13.3916091
"Gene6399",0,0,0,0.99,13.3916091
"Gene6400",0,0,0,0.99,13.3916091
"Gene6401",0,0,0,0.99,13.3916091
"Gene6402",0,0,0,0.99,13.3916091
"Gene6403",0,0,0,0.99,13.3916091
"Gene6404",0,0,0,0.99,13.3916091
"Gene6405",0,0.128554356492509,0,0.61211350224352,13.3916091
"Gene6406",0,0,0,0.99,13.3916091
"Gene6407",0,0.210963678686556,0,0.5159768938313,13.3916091
"Gene6408",0,0.457086056423674,0,0.339009852468533,13.3916091
"Gene6409",0,0.740231986038242,0,0.223701943678504,13.3916091
"Gene6410",0,0,0,0.99,13.3916091
"Gene6411",0,0.0226618814265635,0,0.831409811654823,13.3916091
"Gene6412",0.0291979566745134,0.588647253083963,0.04,0.277907469313556,13.3916091
"Gene6413",0,0,0,0.99,13.3916091
"Gene6414",0,0,0,0.99,13.3916091
"Gene6415",0,1.27801518249512,0,0.109874160612704,13.3916091
"Gene6416",0,0.67430923543393,0,0.245519782846182,13.3916091
"Gene6417",0,0,0,0.99,13.3916091
"Gene6418",0,0,0,0.99,13.3916091
"Gene6419",0,0,0,0.99,13.3916091
"Gene6420",0,0.000541607052059589,0,0.973744589393542,13.3916091
"Gene6421",0,0,0,0.99,13.3916091
"Gene6422",0,0,0,0.99,13.3916091
"Gene6423",0,0,0,0.99,13.3916091
"Gene6424",0,0,0,0.99,13.3916091
"Gene6425",0,0,0,0.99,13.3916091
"Gene6426",0,0,0,0.99,13.3916091
"Gene6427",0.0804842860328974,0.380538485781562,0.1,0.382991697184323,13.3916091
"Gene6428",0,0,0,0.99,13.3916091
"Gene6429",0,0,0,0.99,13.3916091
"Gene6430",0,0.494913722469289,0,0.319784552111656,13.3916091
"Gene6431",0,0,0,0.99,13.3916091
"Gene6432",0,0,0,0.99,13.3916091
"Gene6433",0,0,0,0.99,13.3916091
"Gene6434",0,0.140773787193939,0,0.595688671185891,13.3916091
"Gene6435",0,0.494409768886021,0,0.320031061009356,13.3916091
"Gene6436",0,0,0,0.99,13.3916091
"Gene6437",0,0,0,0.99,13.3916091
"Gene6438",0,0,0,0.99,13.3916091
"Gene6439",0,0,0,0.99,13.3916091
"Gene6440",0,0,0,0.99,13.3916091
"Gene6441",0,0.240642925621444,0,0.48784045546302,13.3916091
"Gene6442",0,0,0,0.99,13.3916091
"Gene6443",0,0,0,0.99,13.3916091
"Gene6444",0,0.432694413279472,0,0.352235047554549,13.3916091
"Gene6445",0,0.100350376652017,0,0.654155811737974,13.3916091
"Gene6446",0,0.263651298169179,0,0.467743116811288,13.3916091
"Gene6447",0,0,0,0.99,13.3916091
"Gene6448",0,0.295907278697456,0,0.441718297222662,13.3916091
"Gene6449",0,0.192575925857898,0,0.534858867358966,13.3916091
"Gene6450",0,0.827787131119425,0,0.19820193907439,13.3916091
"Gene6451",0,0.111882505274235,0,0.636186022594417,13.3916091
"Gene6452",0,0,0,0.99,13.3916091
"Gene6453",0,0,0,0.99,13.3916091
"Gene6454",0,0.120285164183906,0,0.623794496735601,13.3916091
"Gene6455",0,0,0,0.99,13.3916091
"Gene6456",0,0,0,0.99,13.3916091
"Gene6457",0,0,0,0.99,13.3916091
"Gene6458",0,0.0697236580887761,0,0.708831074072536,13.3916091
"Gene6459",0,0.193637875500349,0,0.533734869807821,13.3916091
