,g,pval,qval
2237,AL596275.1,2.4981811364788165e-05,0.00030904550837291135
2223,AL365357.1,2.49511991720075e-05,0.00030904550837291135
1760,AC012181.1,2.483402523056899e-05,0.00030904550837291135
4039,CYP2S1,2.707184479910918e-05,0.00033388608585567986
1912,KIAA1324,2.7875590568826603e-05,0.0003427602828251489
2765,HLA.DQB1,2.8383027620759727e-05,0.0003479485614954581
1754,AC004801.2,2.8822540897754934e-05,0.0003522754998614492
2606,ELF3,2.8963723453179213e-05,0.00035294118100131556
2994,MT.ND4,2.9216941980103606e-05,0.00035496404137021393
2117,AC115223.1,2.9666025019414732e-05,0.0003593473863958868
2106,AC107032.1,3.179805497044441e-05,0.0003840299220466135
2236,AL592295.1,3.259090240248508e-05,0.0003924407478642434
2768,HLA.DRB5,3.280868061283915e-05,0.0003938977288916086
3501,KLF9,3.306544121062238e-05,0.00039581278155068555
2817,IGLC6,3.3274579758324485e-05,0.0003971482100187116
2470,COL6A3,3.4343855852103644e-05,0.00040871196876626266
1805,AL138878.1,3.448179282183883e-05,0.00040915713348362693
2764,HLA.DQA2,3.529950887537492e-05,0.0004176424451243486
3894,CD151,3.6076883098368207e-05,0.0004256026498850974
2235,AL591866.1,3.702405886774063e-05,0.00043551421847313397
2286,AQP12B,3.747612016669066e-05,0.00043956140944792797
2055,AC084198.1,3.771726143486642e-05,0.0004411185460916849
3673,CAPN8,3.955063360761013e-05,0.00046123518275923564
3519,LINC00342,4.3418203958811574e-05,0.0005048916860353232
2763,HLA.DPA1,4.357907440899478e-05,0.0005053186120929024
3850,AC026254.2,4.673889477702087e-05,0.0005404184708593038
1822,ARID1A,4.696904696221971e-05,0.0005415411363632697
2195,AL121769.1,4.712626956182575e-05,0.0005418189749057368
1921,LINC02532,4.7531920813526085e-05,0.0005449434301719751
1352,AC021443.1,4.81241840982749e-05,0.0005501837901123001
3896,CD82,4.9830458758504115e-05,0.0005680951460703411
3945,GPR35,5.039157982911213e-05,0.0005728875136996826
2291,ARF4,5.086558293720955e-05,0.0005766655224357741
1861,DUSP23,5.1344211711934484e-05,0.0005790737839382952
1814,AL513365.1,5.136256412818785e-05,0.0005790737839382952
3888,BSG,5.227623203074572e-05,0.0005877465866440195
3205,AL365223.1,5.314899412589558e-05,0.0005926476879243699
2415,CEACAM6,5.309663841623902e-05,0.0005926476879243699
3154,AC090543.2,5.290772376709274e-05,0.0005926476879243699
1839,CBWD2,5.401563011575572e-05,0.0006006656135823108
1787,AC106820.1,5.447600015273668e-05,0.0006041343886148183
2064,AC090589.1,5.587424424624565e-05,0.0006167547319331224
2846,KCNJ15,5.6068611993920214e-05,0.0006167547319331224
2894,LONP2,5.604934554681584e-05,0.0006167547319331224
1874,FLNB,5.691110512617836e-05,0.0006243347651308516
2238,AL596448.1,5.856211475241402e-05,0.0006372936017174466
3464,HLA.DPB1,5.842142129897088e-05,0.0006372936017174466
2391,CCL21,5.825948607751652e-05,0.0006372936017174466
2354,C12orf54,5.9728524694602214e-05,0.0006482535880187494
2187,AL050331.1,6.150405273730453e-05,0.0006657486559596527
3560,MOXD1,6.349249680981384e-05,0.0006854495013685472
2130,AC133134.1,6.464251588611525e-05,0.0006960186234298652
3895,CD74,6.715271344093221e-05,0.0007211386377429924
704,FAM210B,6.848298262518426e-05,0.0007334887875907894
3953,HLA.B,6.938259008359982e-05,0.0007411736001056463
2269,AP001086.1,7.081123126106981e-05,0.0007544547414464767
1950,NEURL1,7.10216900003946e-05,0.0007547213532679008
1996,AC008026.1,7.472676292630265e-05,0.0007920258466407598
3688,CLDN1,7.507007206497551e-05,0.0007935979046868839
1391,AL590556.1,7.603587194915384e-05,0.0008017253855778656
1973,AC004552.1,7.65243244856828e-05,0.0008035372036620806
3876,ARHGDIA,7.660256388719588e-05,0.0008035372036620806
1941,MT1M,7.862855777684974e-05,0.000822668972112541
3410,FBLN5,8.093087612548455e-05,0.0008418461165521447
1892,GTF2I,8.108198469003458e-05,0.0008418461165521447
3122,AC008446.1,8.097677760932065e-05,0.0008418461165521447
1750,ABHD17C,8.173976787040349e-05,0.0008446774694723455
2028,AC020899.1,8.176975994400593e-05,0.0008446774694723455
3689,CLDN4,8.248964891943711e-05,0.0008499566357015419
1905,IGHGP,8.446290087815722e-05,0.0008680909256921714
3121,AC008158.1,8.602862163187286e-05,0.0008819558943116436
2007,AC010323.2,8.882192366976849e-05,0.0009083045963215019
3750,GPX2,9.262361026529664e-05,0.0009428546040160995
3141,AC024995.1,9.266384314654541e-05,0.0009428546040160995
1813,AL512430.3,9.675207541792741e-05,0.000981997373942555
872,HDHD5,9.769205069110054e-05,0.0009890712594845255
2893,LMAN1,9.812545732212907e-05,0.0009909940727073582
3822,MTRNR2L1,9.853349472588313e-05,0.0009926517909265948
1571,FGA,9.950601331032427e-05,0.0009999740103037525
1931,MIR194.2HG,0.00010403968471861536,0.001042959400996957
1774,AC087190.1,0.00010439837014797337,0.0010439837014797337
1430,ATP5F1,0.0001050351273660377,0.0010477768832837585
1627,HNRNPR,0.00010554457720979293,0.0010502846680778906
3267,C1QB,0.00010593246223367103,0.001051573466563515
3397,EZR,0.00010727997569526249,0.0010623588834056407
2093,AC099336.2,0.00010760288659561468,0.0010629702632139605
1826,ATP1B1,0.00010877317711932566,0.0010719293725802795
3514,LDLR,0.0001103476444136442,0.0010848186298636035
1788,AC109454.1,0.00011480671794050767,0.0011243148356577814
1811,AL365436.1,0.00011491768344806808,0.0011243148356577814
1917,LARGE2,0.00011616657911994732,0.0011245843555292734
1801,AL031985.2,0.00011624294600964813,0.0011245843555292734
2885,LCN2,0.00011536372841558507,0.0011245843555292734
3038,NACAP1,0.00011632678468742608,0.0011245843555292734
3552,MMP2,0.00011558055142091295,0.0011245843555292734
1955,NOMO2,0.00011712644836925357,0.001129631859864602
3287,CFL1,0.00011788501691123443,0.001134260091793674
3942,GC,0.00011826273841364365,0.001135210720149834
3485,IL6ST,0.00011945176885941322,0.0011439263511948514
1470,CD248,0.00012069562425653935,0.0011531248608547303
2105,AC106872.7,0.00012158545265716914,0.0011589058368025255
1773,AC079834.1,0.00012365678037740135,0.0011758950844299614
1749,A2M,0.00012407802162406334,0.0011771504615616264
2016,AC013787.1,0.0001255336532274276,0.001185533753733225
2066,AC090680.1,0.000125544237803199,0.001185533753733225
3567,MST1R,0.00012846155270473947,0.0012088059536875906
2685,FTLP2,0.00012860269728420803,0.0012088059536875906
1790,AC121334.1,0.00012973990487497034,0.0012166852830440766
2472,COMP,0.00013077118709314828,0.0012235373137221
2281,APOL2,0.00013204823311130376,0.0012326520843188218
2688,FURIN,0.00013460466224524126,0.0012536406758309655
3134,AC018738.1,0.00013548040292765684,0.0012589160728665829
1357,AC092683.1,0.00013655349173868903,0.001265997064638871
2614,ENKD1,0.00013953851705794662,0.001287804454480369
2279,APOC1,0.00013939719987343668,0.001287804454480369
2100,AC104563.1,0.00014185808735800443,0.0013062498089300408
1943,MTRNR2L8,0.00014245687211111857,0.0013088024142037305
3769,IL32,0.00015045385959944202,0.001379160379661552
3708,CYBRD1,0.00015449824838686954,0.0014130513953585597
3989,LY6E,0.00016018806278506048,0.001461805864428691
